,row ID,row m/z,match_id,match_smiles,mps0,pp0,pair_similarity0,mps1,pp1,pair_similarity1,mps2,pp2,pair_similarity2
42,3,462.1715916,CNP0106660,O=C1OCC2=C1C(OC)=C(C(OC)=C2C)CC=C(C)CCC(=O)NC3=NN=C(S3)COC,0.0,0.0,0.0,1.0,0.0625,0.0267452634871006,0.0,0.0,0.0
43,4,561.3603225,NPA009012,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,4.0,0.3333333333333333,0.4280290212482214,4.0,0.3333333333333333,0.30547917634248734,5.0,0.4166666666666667,0.1091027635266073
44,4,561.3603225,CNP0223389,O=C(OCC(C=1C(=O)C2=CC=C3C(C=CC=C3C)=C2C(=O)C1O)C)CCCCCCCC=CCCCCCCCC,1.0,0.08333333333333333,0.428288072347641,2.0,0.16666666666666666,0.33376097306609154,0.0,0.0,0.0
45,4,561.3603225,CNP0336264,O=C(NCCCCCN(O)C(=O)C)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,4.0,0.3333333333333333,0.4280290212482214,4.0,0.3333333333333333,0.30547917634248734,5.0,0.4166666666666667,0.1091027635266073
46,4,561.3603225,CNP0131718,O=C(OCCCC1=CC=C2OC(=CC2=C1)C=3C=CC=4OCOC4C3)CCCCCCCC=CCCCCCCCC,1.0,0.08333333333333333,0.534864604473114,1.0,0.08333333333333333,0.23223741352558136,1.0,0.08333333333333333,0.3848874866962433
47,5,575.3763288,CNP0003161,O=C(OC1CCC2(C)C3C(=O)C=C4C5C(C)C(C)CCC5(C(=O)O)CCC4(C)C3(C)CCC2C1(C)C)C=6C=CC=CC6,1.0,0.16666666666666666,0.4864969849586487,1.0,0.16666666666666666,0.2508205473423004,1.0,0.16666666666666666,0.35279327630996704
48,5,575.3763288,CNP0010777,O=C(OC1CCC2(C)C(C(=O)CC3(C)C2CC=C4C5C(C)C(C)CCC5(C(=O)O)CCC43C)C1(C)C)C=6C=CC=CC6,1.0,0.16666666666666666,0.3205406069755554,1.0,0.16666666666666666,0.2627010643482208,1.0,0.16666666666666666,0.41544076800346375
49,5,575.3763288,CNP0435005,O=C(NCCCCCN(O)C(=O)CC)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,2.0,0.3333333333333333,0.4014279991388321,5.0,0.8333333333333334,0.313377445563674,4.0,0.6666666666666666,0.09156310651451349
50,5,575.3763288,CNP0352842,O=C1C2(C=3C=CC=CC3N)CCN4CC(CC)C(CC42)C15CC6=C7N(C=8C=CC=CC8C79CCN%10CC(CC)C6CC%109)C5,1.0,0.16666666666666666,0.6883930563926697,1.0,0.16666666666666666,0.5629910230636597,1.0,0.16666666666666666,0.2547244429588318
51,5,575.3763288,CNP0178826,OC1=CC=C(C=2N=C3CCC4(CC)CCCN5CCC3(C12)C54)C6N7C=8C=CC=CC8C9=C7C%10N(CC9)CCCC%10(CC)C6,1.0,0.16666666666666666,0.6944085955619812,1.0,0.16666666666666666,0.6944085955619812,1.0,0.16666666666666666,0.29062944650650024
52,5,575.3763288,CNP0170155,OC12NC=3C(=CC=CC3C42CCN5CC(CC)C(C1=C)CC54)CC6C7=NC=8C=CC=CC8C79CCN%10CC(CC)C6CC%109,1.0,0.16666666666666666,0.6883930563926697,1.0,0.16666666666666666,0.501571536064148,1.0,0.16666666666666666,0.2358798384666443
53,5,575.3763288,CNP0478379,O=C(O)C(N(C)C1CC(C=2C=CC=C(F)C2)C(CN3CCC(C4=CC(=NN4CC)CC=5C=CC=CC5)CC3)C1)C(C)C,1.0,0.16666666666666666,0.42997556924819946,1.0,0.16666666666666666,0.22151625156402588,1.0,0.16666666666666666,0.32588818669319153
